"Date,""UCT_Index"",""Deforestation_Brazil"",""Brazil_Soy_Exports_China"",""USA_Soy_Exports_China"",""Argentina_Soy_Exports_China"",""Brazil_Soy_Exports_EU"",""USA_Soy_Exports_EU"",""Brazil_Beef_Exports_China"",""USA_Beef_Exports_China"",""Argentina_Beef_Exports_China"",""Brazil_Beef_Exports_EU"",""USA_Beef_Exports_EU"",""Argentina_Beef_Exports_EU"",""Semi_Annual"",""Soybean_Prices"""
"2012-01-01,109.4260409,2446,135139,1549688,0,103952,76494,508,0,0,10842,11021,41333,""2012-H1"",503.18"
"2012-02-01,111.8795512,2432,35496,1308870,0,188809,117796,0,0,0,10632,10667,43825,""2012-H1"",522.96"
"2012-03-01,106.3792667,2737,1424387,944637,16094,374241,38572,331,0,0,16165,10224,37554,""2012-H1"",547.46"
"2012-04-01,111.634433,2681,1672548,373781,284971,361575,112986,169,0,0,17946,11535,32199,""2012-H1"",583.83"
"2012-05-01,118.4095499,2437,3037780,419954,540024,353832,28407,1681,0,0,18443,10367,46965,""2012-H1"",577.48"
"2012-06-01,108.5965869,2268,1944218,31057,37225,359951,23914,3363,0,0,15056,14585,32118,""2012-H1"",578.01"
"2012-07-01,156.855521,2062,1491439,469066,549136,403122,25208,2450,0,89,16243,12735,28529,""2012-H2"",670.19"
"2012-08-01,141.6716603,2051,1078726,676199,408742,174646,42431,3600,0,0,18675,14460,43791,""2012-H2"",684.02"
"2012-09-01,100.2955993,2410,46558,968695,310665,292271,83536,8360,0,0,26514,21941,40246,""2012-H2"",677.32"
"2012-10-01,103.73827,2439,216442,3030843,199839,112947,358913,21810,0,275,31349,13946,41687,""2012-H2"",625.76"
"2012-11-01,93.47493106,2331,37167,2998785,40856,90384,275273,20560,0,1154,25476,15123,50138,""2012-H2"",584.59"
"2012-12-01,83.45288724,2403,1561,1826553,0,63920,297009,10086,0,1554,14200,16085,34261,""2012-H2"",591.29"
"2013-01-01,90.24798472,2459,0,1826845,0,0,463423,482,0,2318,15129,13244,39287,""2013-H1"",595.3"
"2013-02-01,88.88167206,2447,35862,1501258,0,46477,120428,36,0,1721,18815,12588,28194,""2013-H1"",610.73"
"2013-03-01,82.22993756,2410,1410767,438011,0,254884,17890,0,0,2472,14954,16856,42653,""2013-H1"",584.7"
"2013-04-01,101.0718878,2378,2966770,75989,484463,390686,130,125,0,2297,17804,14855,34794,""2013-H1"",563.88"
"2013-05-01,86.42219175,2293,3515847,37969,670,347335,38437,0,0,1951,20123,17187,51238,""2013-H1"",498.01"
"2013-06-01,108.3978826,2659,2685613,102,3429,349453,154,0,0,2821,17757,19171,30074,""2013-H1"",524.66"
"2013-07-01,91.31236815,2762,2116673,286,310576,542714,122,0,0,3499,20316,18438,32870,""2013-H2"",511.3"
"2013-08-01,86.90265301,2766,2070929,0,651908,332697,121,0,0,5022,23693,18741,36356,""2013-H2"",511.71"
"2013-09-01,95.91888719,2532,1312738,454391,491096,265978,70998,261,0,7624,26699,17272,43383,""2013-H2"",560.18"
"2013-10-01,85.30499066,2692,583924,2999893,262783,107590,284848,0,0,8291,26553,15922,49258,""2013-H2"",540.85"
"2013-11-01,93.23615973,2569,123184,3540231,18,90167,198322,0,0,7186,25683,22011,29324,""2013-H2"",551.32"
"2013-12-01,92.15428368,2472,657,2427843,127,5878,333332,0,0,3652,21414,13429,27823,""2013-H2"",564.03"
"2014-01-01,100.1517602,2434,7726,2411291,0,1,555977,126,0,2213,18974,18956,30904,""2014-H1"",565.5"
"2014-02-01,95.04833683,2500,1163437,1954530,0,128219,226409,120,0,3094,19455,18369,27418,""2014-H1"",490.73"
"2014-03-01,105.0598652,2349,2590951,819716,3023,290797,81843,0,0,3248,14573,19617,36361,""2014-H1"",530.81"
"2014-04-01,88.65022024,2374,2962110,72281,508188,542948,0,92,0,6207,17517,18075,40474,""2014-H1"",516.18"
"2014-05-01,90.0495167,2394,2908974,0,643372,375832,34,0,99,6669,23186,16093,57974,""2014-H1"",519.42"
"2014-06-01,82.19559941,2200,2348990,0,717219,650964,58,0,0,11040,25378,16493,38299,""2014-H1"",511.14"
"2014-07-01,98.54232843,2525,1998690,509,514577,602075,68,0,0,9373,38260,17956,37302,""2014-H2"",471.74"
"2014-08-01,87.74792541,3036,1610453,123,481315,246873,30394,0,22,6850,2315,21171,39961,""2014-H2"",458.57"
"2014-09-01,94.34580832,3638,833159,498235,141257,154331,149548,0,0,8157,29424,23100,35399,""2014-H2"",430.17"
"2014-10-01,87.7925086,3931,12794,3072543,27668,126666,250684,0,0,10667,31860,17894,48391,""2014-H2"",425.81"
"2014-11-01,111.5138528,4074,28741,3541820,0,4352,339079,118,0,15587,28735,27828,33292,""2014-H2"",449.9"
"2014-12-01,110.9831814,4043,33933,2426876,0,17,225703,0,0,13382,21978,12468,28779,""2014-H2"",448.32"
"2015-01-01,92.68878189,4035,43,1929363,0,0,343478,0,0,10124,19245,19153,31314,""2015-H1"",433.21"
"2015-02-01,89.57662162,4089,193248,1039769,0,102240,184788,0,0,9973,18591,29279,27861,""2015-H1"",423.55"
"2015-03-01,92.34642274,4031,1800928,38572,0,180989,103414,0,0,16255,15053,15950,27837,""2015-H1"",409.79"
"2015-04-01,111.1316852,4133,1922937,98953,432483,276281,34315,0,0,16518,18621,26336,35156,""2015-H1"",394.73"
"2015-05-01,93.97870696,4301,2709024,196,849167,454816,71897,0,0,20595,18965,27244,33039,""2015-H1"",388.2"
"2015-06-01,119.0318691,4618,2936231,553,704499,375405,25192,20125,0,20825,15905,18065,30236,""2015-H1"",391.48"
"2015-07-01,141.2532936,4937,2467439,3032,424332,325311,78524,57269,0,13433,18121,17585,28923,""2015-H2"",405.87"
"2015-08-01,150.119272,5122,1422458,1565,33613,183224,55680,63884,0,14530,22937,22424,28679,""2015-H2"",378.78"
"2015-09-01,144.0001088,4885,1138973,387068,380,71258,144074,81286,0,14452,25058,19283,27692,""2015-H2"",367.49"
"2015-10-01,117.7836505,4653,651606,2817093,298032,105257,211301,83240,0,18677,30066,17119,37451,""2015-H2"",375.95"
"2015-11-01,108.0867371,4732,382429,2360095,91809,44519,319812,95269,0,12896,29945,22627,27574,""2015-H2"",368"
"2015-12-01,115.0681593,4896,162469,1465284,24621,43658,355575,75318,0,4794,22825,14857,26572,""2015-H2"",368.42"
"2016-01-01,154.6285319,4899,117114,1399725,11018,0,245833,40649,0,14816,17057,13453,32584,""2016-H1"",373.08"
"2016-02-01,121.4840824,4832,555351,1135367,0,62577,210217,47418,0,11027,18367,14542,36478,""2016-H1"",373.75"
"2016-03-01,118.2740042,5305,2303281,392189,0,262496,89301,61760,0,19668,17234,13354,43421,""2016-H1"",380.97"
"2016-04-01,110.7683142,5274,2803044,21724,188065,238911,26174,63794,0,21241,19083,13667,35023,""2016-H1"",395.14"
"2016-05-01,119.2141,5375,2609453,4319,614457,498209,30341,84301,0,24712,19980,16089,35869,""2016-H1"",422.55"
"2016-06-01,108.3020898,5571,2205266,29481,693725,397692,39,64565,0,19310,17494,17144,24816,""2016-H1"",457.4"
"2016-07-01,118.257691,6147,1735363,420926,415244,298479,172738,17348,0,23852,18405,17934,30917,""2016-H2"",431.08"
"2016-08-01,140.1354605,5974,1083410,795259,451388,152495,369421,23074,0,19537,26232,16519,28069,""2016-H2"",412.17"
"2016-09-01,110.1229152,6164,35298,1017923,327584,46058,46364,68518,0,14656,25278,13743,41535,""2016-H2"",403.53"
"2016-10-01,112.1380817,6364,33978,3499705,65004,10174,295366,94278,0,16414,26774,21587,35507,""2016-H2"",401.87"
"2016-11-01,135.2869805,6418,83422,3177057,0,13522,234182,73848,0,25650,26573,18517,45282,""2016-H2"",397.76"
"2016-12-01,153.0003186,6162,19765,2308904,26064,1253,179202,63214,0,17735,27526,14935,33015,""2016-H2"",416.07"
"2017-01-01,162.8714242,5986,296717,1758709,24288,24154,276919,74700,15,26757,16536,17320,31794,""2017-H1"",412"
"2017-02-01,126.5126168,5971,1034529,1053261,0,175543,117382,62497,0,23927,16530,17852,29332,""2017-H1"",394.5312"
"2017-03-01,115.6498422,5737,2957446,482083,26249,187476,116282,82191,0,19078,14266,19873,34327,""2017-H1"",383.681592"
"2017-04-01,168.5584193,5437,3156222,264371,258678,293449,165039,52255,0,26144,13098,17953,31161,""2017-H1"",387.44"
"2017-05-01,121.3404356,5270,3072944,151402,58995,437165,149,61582,0,27585,18728,14410,35827,""2017-H1"",389.72"
"2017-06-01,121.3920299,4928,2408449,131464,49605,334139,64859,65767,0,29156,16653,16199,35554,""2017-H1"",378.59"
"2017-07-01,137.4328757,4639,1937140,19158,18125,188107,172287,66883,285,39869,20824,17475,35857,""2017-H2"",410.23"
"2017-08-01,134.8712033,3892,1823418,455426,274103,59729,78082,82696,2359,25619,27254,7214,33131,""2017-H2"",392.87"
"2017-09-01,118.3904023,3603,1313588,1097619,382129,43607,81256,77469,5567,43440,20209,14536,55120,""2017-H2"",393.95"
"2017-10-01,100.5107374,3293,820591,2698024,172793,53356,224751,90505,4278,54231,21664,23404,50514,""2017-H2"",396.52"
"2017-11-01,126.7687514,3280,69413,2435936,0,72961,209886,102239,4780,51050,21486,4037,39491,""2017-H2"",393.85"
"2017-12-01,108.2727262,3551,795033,1504542,9036,77320,129920,110105,7134,39532,14794,22866,40336,""2017-H2"",387.15455"
"2018-01-01,129.6599811,3676,509197,1238716,0,34803,206537,104627,6636,53478,17232,9105,33592,""2018-H1"",389.53"
